file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,95,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,37
style.css,96,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,12
style.css,97,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,17
style.css,98,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,12
style.css,99,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,15
style.css,100,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,33
style.css,101,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,0
style.css,102,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,0
style.css,103,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,13
style.css,104,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,70
style.css,105,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,0
style.css,106,css,682e7995,ishita-takkar,2025-04-11,00:27:42,-07:00,2025-04-11T00:27:42-07:00,0,0
style.css,107,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,10
style.css,108,css,682e7995,ishita-takkar,2025-04-11,00:27:42,-07:00,2025-04-11T00:27:42-07:00,0,13
style.css,109,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,59
style.css,110,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,8
style.css,111,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,20
style.css,112,css,dae61b81,ishita-takkar,2025-04-11,12:25:30,-07:00,2025-04-11T12:25:30-07:00,0,18
style.css,113,css,34689caf,ishita-takkar,2025-04-11,12:10:36,-07:00,2025-04-11T12:10:36-07:00,0,0
style.css,114,css,34689caf,ishita-takkar,2025-04-11,12:10:36,-07:00,2025-04-11T12:10:36-07:00,0,0
style.css,115,css,2144ed89,ishita-takkar,2025-04-11,12:36:12,-07:00,2025-04-11T12:36:12-07:00,0,18
style.css,116,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,13
style.css,117,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,34
style.css,118,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,8
style.css,119,css,dae61b81,ishita-takkar,2025-04-11,12:25:30,-07:00,2025-04-11T12:25:30-07:00,0,29
style.css,120,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,12
style.css,121,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,18
style.css,122,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,44
style.css,123,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,38
style.css,124,css,34689caf,ishita-takkar,2025-04-11,12:10:36,-07:00,2025-04-11T12:10:36-07:00,0,0
